Game,Owners,Price,_id,developer,genre,release date,reviews
Stellaris,"2,000,000 - 5,000,000",39.99,60c187a2e67d88c2e62da5bb,Paradox Development Studio,"Simulation,Strategy",2016-05-09T00:00:00.000Z, 77% 
American Truck Simulator,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da5bc,SCS Software,"Indie,Simulation",2016-02-02T00:00:00.000Z, 92% 
Total War: WARHAMMER II,"2,000,000 - 5,000,000",59.99,60c187a2e67d88c2e62da5bd,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","Action,Strategy",2017-09-28T00:00:00.000Z, 85% 
Hell Let Loose,"1,000,000 - 2,000,000",29.99,60c187a2e67d88c2e62da5be,Black Matter Pty Ltd,"Action,Indie,Simulation,Strategy,Early Access",2019-06-06T00:00:00.000Z, 72% 
Black Desert Online,"5,000,000 - 10,000,000",9.99,60c187a2e67d88c2e62da5bf,Pearl Abyss,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",2017-05-24T00:00:00.000Z, 64% 
The Elder Scrolls V: Skyrim Special Edition,"2,000,000 - 5,000,000",39.99,60c187a2e67d88c2e62da5c0,Bethesda Game Studios,RPG,2016-10-27T00:00:00.000Z, 83% 
Fallout 4,"5,000,000 - 10,000,000",29.99,60c187a2e67d88c2e62da5c1,Bethesda Game Studios,RPG,2015-11-09T00:00:00.000Z, 70% 
Rust,"20,000,000 - 50,000,000",34.99,60c187a2e67d88c2e62da5c2,Facepunch Studios,"Action,Adventure,Indie,Massively Multiplayer,RPG",2018-02-08T00:00:00.000Z, 80% 
Grand Theft Auto V,"20,000,000 - 50,000,000",29.99,60c187a2e67d88c2e62da5c3,Rockstar North,"Action,Adventure",2015-04-14T00:00:00.000Z, 70% 
Warframe,"20,000,000 - 50,000,000",19.99,60c187a2e67d88c2e62da5c4,Digital Extremes,"Action,Free to Play",2013-03-25T00:00:00.000Z, 91% 
MORDHAU,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da5c5,Triternion,"Action,Indie",2019-04-29T00:00:00.000Z, 73% 
Total War: THREE KINGDOMS,"2,000,000 - 5,000,000",59.99,60c187a2e67d88c2e62da5c6,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","Action,Strategy",2019-05-23T00:00:00.000Z, 83% 
FINAL FANTASY XIV Online,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da5c7,Square Enix,"Massively Multiplayer,RPG",2014-02-18T00:00:00.000Z, 81% 
Borderlands 2,"10,000,000 - 20,000,000",19.99,60c187a2e67d88c2e62da5c8,"Gearbox Software,Aspyr (Mac),Aspyr (Linux)","Action,RPG",2012-09-17T00:00:00.000Z, 96% 
Path of Exile,"10,000,000 - 20,000,000",0,60c187a2e67d88c2e62da5c9,Grinding Gear Games,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG",2013-10-23T00:00:00.000Z, 91% 
Dota 2,"100,000,000 - 200,000,000",0,60c187a2e67d88c2e62da5ca,Valve,"Action,Free to Play,Strategy",2013-07-09T00:00:00.000Z, 85% 
Counter-Strike: Global Offensive,"50,000,000 - 100,000,000",0,60c187a2e67d88c2e62da5cb,"Valve,Hidden Path Entertainment","Action,Free to Play",2012-08-21T00:00:00.000Z, 86% 
Plants vs. Zombies GOTY Edition,"2,000,000 - 5,000,000",4.99,60c187a2e67d88c2e62da5cc,"PopCap Games, Inc.",Strategy,2009-05-05T00:00:00.000Z, 96% 
Production Line : Car factory simulation,"100,000 - 200,000",24.99,60c187a2e67d88c2e62da5cd,Positech Games,"Indie,Simulation,Strategy",2019-03-07T00:00:00.000Z, 85% 
Mirror,"2,000,000 - 5,000,000",1.99,60c187a2e67d88c2e62da5ce,KAGAMI WORKs,"Adventure,Indie,RPG",2018-04-19T00:00:00.000Z, 96% 
Totally Accurate Battlegrounds,"1,000,000 - 2,000,000",4.99,60c187a2e67d88c2e62da5cf,Landfall,"Action,Indie",2018-06-05T00:00:00.000Z, 72% 
100% Orange Juice,"500,000 - 1,000,000",6.99,60c187a2e67d88c2e62da5d0,Orange_Juice,"Indie,Strategy",2013-09-10T00:00:00.000Z, 94% 
